"id","class_id","instructor","section_id","section_type","meeting_time","start_time","end_time","location","course_id","day"
4804,82463,"Cathy Forbes","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",128,"TBA"
4805,82464,"Keira Fullerton","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",128,"TBA"
4806,82465,"Jack A Unzicker","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",128,"TBA"
4807,82466,"Sergio Espinosa","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",128,"TBA"
4808,82467,"Carol A Jessup","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",129,"TBA"
4809,82468,"Rogene R Howard","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",129,"TBA"
4810,82469,"Teresa A Sanchez","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",129,"TBA"
4811,82470,"Timothy J Ishii","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",129,"TBA"
4812,82471,"Laura B Cameron","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",129,"TBA"
4813,90774,"Michael Morrison","006                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",129,"TBA"
4814,82472,"Kenneth Krause","007                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",129,"TBA"
4815,82473,"Christopher McGuire","008                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",129,"TBA"
4816,82475,"Carol A Jessup","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",130,"TBA"
4817,82476,"Rogene R Howard","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",130,"TBA"
4818,82477,"Teresa A Sanchez","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",130,"TBA"
4819,82478,"Timothy J Ishii","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",130,"TBA"
4820,82479,"Laura B Cameron","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",130,"TBA"
4821,82480,"Kenneth Krause","007                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",130,"TBA"
4822,82481,"Christopher McGuire","008                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",130,"TBA"
4823,82482,"Rickey G Bogard","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",131,"TBA"
4824,82483,"Gerald E Wood","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",131,"TBA"
4825,82484,"Dennis L Bubert","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",131,"TBA"
4826,82485,"Edward W Jones","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",131,"TBA"
4827,82486,"Kenneth M Edwards","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",131,"TBA"
4828,86690,"Miranda George","006                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",131,"TBA"
4829,86679,"Donald Bruce","007                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",131,"TBA"
4830,82488,"Rickey G Bogard","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",132,"TBA"
4831,82489,"Gerald E Wood","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",132,"TBA"
4832,82490,"Dennis L Bubert","003                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",132,"TBA"
4833,82491,"Edward W Jones","004                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",132,"TBA"
4834,82492,"Kenneth M Edwards","005                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",132,"TBA"
4835,86680,"Donald Bruce","007                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",132,"TBA"
4836,82494,"Michael L Varner","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",133,"TBA"
4837,82495,"Andrew Eldridge","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",133,"TBA"
4838,82496,"Michael L Varner","001                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",134,"TBA"
4839,82497,"Andrew Eldridge","002                 ","PRI                 ","08/27/2015 - 12/09/2015",,,"TBA",134,"TBA"
